subject,trial,movement,data_leg,variable,net,positive,negative
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,subtalar_angle_moment,13.83028982,14.03959531,-0.209305488
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,pro_sup_moment,0.001922679,0.020419308,-0.018496629
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,mtp_angle_moment,-0.087662323,0,-0.087662323
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,wrist_flex_moment,0.454997119,0.454997119,0
FAILTCRT01,FAILTCRT01_SDP04,sdp,nonpivot,wrist_dev_moment,-0.383174634,0.00131873,-0.384493365
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,hip_flexion_moment,-17.34370544,19.94361,-37.28731544
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,hip_adduction_moment,-48.91251007,3.131587451,-52.04409752
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,hip_rotation_moment,-3.230340759,2.460302567,-5.690643326
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,lumbar_extension_moment,60.64022597,60.72139191,-0.081165931
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,lumbar_bending_moment,20.06665068,23.46733354,-3.400682853
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,lumbar_rotation_moment,2.103730679,9.608423182,-7.504692504
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,knee_angle_moment,32.6319571,36.61847447,-3.986517364
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,arm_flex_moment,3.002639948,3.251019546,-0.248379597
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,arm_add_moment,10.13920735,10.13920735,0
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,arm_rot_moment,-0.626189628,0.193170986,-0.819360614
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,ankle_angle_moment,-47.91008865,1.332150577,-49.24223923
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,elbow_flex_moment,5.532972364,5.532972364,0
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,subtalar_angle_moment,11.30397576,11.68819034,-0.384214581
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,pro_sup_moment,0.003523754,0.014641264,-0.01111751
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,mtp_angle_moment,-0.087820935,0,-0.087820935
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,wrist_flex_moment,0.446907172,0.446907172,0
FAILTCRT01,FAILTCRT01_SDP05,sdp,pivot,wrist_dev_moment,-0.367181632,0,-0.367181632
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,hip_flexion_moment,-41.01475167,8.786902468,-49.80165414
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,hip_adduction_moment,-57.06433802,5.801748168,-62.86608619
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,hip_rotation_moment,9.57099171,14.11661517,-4.545623461
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,lumbar_extension_moment,60.64022597,60.72139191,-0.081165931
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,lumbar_bending_moment,20.06665068,23.46733354,-3.400682853
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,lumbar_rotation_moment,2.103730679,9.608423182,-7.504692504
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,knee_angle_moment,-17.68573825,15.33899376,-33.02473201
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,arm_flex_moment,3.792522897,3.84475086,-0.052227963
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,arm_add_moment,10.53835898,10.53835898,0
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,arm_rot_moment,-0.574674441,0.338759659,-0.9134341
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,ankle_angle_moment,-63.55457338,0.786128093,-64.34070148
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,elbow_flex_moment,5.522638935,5.522638935,0
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,subtalar_angle_moment,14.26622742,14.88605543,-0.619828009
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,pro_sup_moment,0.016468482,0.025303446,-0.008834963
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,mtp_angle_moment,-0.088013425,0,-0.088013425
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,wrist_flex_moment,0.461075125,0.461075125,0
FAILTCRT01,FAILTCRT01_SDP05,sdp,nonpivot,wrist_dev_moment,-0.333884201,0.003794183,-0.337678384
FAILTCRT01,FAILTCRT01_SDP06,sdp,nonpivot,hip_flexion_moment,-10.42549483,16.4679031,-26.89339792
